,B_시군구,B_동,경찰서,공원,백화점,버스,병원,소방서,약국,영화관,지하철,편의점,동리명,법정동 인구밀도
0,강남구,개포동,3,0,0,78,90,1,5,0,3,37,개포동,29732.83333
1,강남구,논현동,2,0,0,44,455,1,15,3,5,121,논현동,33951
2,강남구,대치동,2,0,1,64,283,0,8,0,5,101,대치동,83599.33333
3,강남구,도곡동,1,0,0,44,130,0,5,0,4,38,도곡동,55166
4,강남구,삼성동,2,1,1,51,178,3,7,1,5,86,삼성동,31500
5,강남구,세곡동,1,0,0,34,18,0,2,0,0,5,세곡동,2331
6,강남구,수서동,1,0,1,27,38,1,2,0,2,16,수서동,23941
7,강남구,신사동,1,1,0,22,644,0,11,4,2,70,신사동,67547.83333
8,은평구,신사동,1,2,0,52,51,0,0,0,2,29,신사동,67547.83333
9,강남구,압구정동,1,0,1,11,14,0,0,0,0,8,압구정동,13535.83333
10,강남구,역삼동,1,0,1,68,546,1,13,2,3,194,역삼동,48074
11,강남구,율현동,0,1,0,13,5,0,0,0,0,2,율현동,2331
12,강남구,일원동,0,1,0,44,48,0,1,0,2,19,일원동,22443.83333
13,강남구,자곡동,0,0,0,17,9,0,0,0,0,10,자곡동,2331
14,강남구,청담동,1,1,0,22,248,0,5,0,0,49,청담동,11702
15,강동구,강일동,1,0,0,47,27,0,3,0,0,11,강일동,12778
16,강동구,고덕동,0,1,0,41,46,1,1,0,0,10,고덕동,26316
17,강동구,길동,0,1,0,37,111,1,7,0,1,49,길동,21598
18,강동구,둔촌동,2,1,0,36,29,0,6,0,0,17,둔촌동,27237
19,강동구,명일동,1,1,1,37,133,0,2,0,2,24,명일동,61339
20,강동구,상일동,1,1,0,53,27,0,2,0,1,13,상일동,12583
21,강동구,성내동,2,0,0,56,174,3,9,0,5,62,성내동,105696
22,강동구,암사동,1,0,0,26,84,1,4,0,1,39,암사동,55508
23,강동구,천호동,2,1,3,55,197,1,7,1,1,71,천호동,95815
24,강북구,미아동,2,0,2,153,240,2,8,0,5,90,미아동,165021
25,강북구,번동,3,1,0,98,74,3,2,1,1,39,번동,62876
26,강북구,수유동,4,0,0,144,142,1,7,1,2,82,수유동,94587
27,강북구,우이동,0,1,0,17,6,0,1,0,3,10,우이동,1025
28,강서구,가양동,0,2,2,40,58,0,4,0,1,24,가양동,61502.5
29,강서구,개화동,0,0,0,9,0,1,0,0,1,2,개화동,1828.5
30,강서구,공항동,0,0,0,40,22,1,1,0,2,26,공항동,10457.33333
31,강서구,과해동,0,0,0,2,2,0,0,0,0,2,과해동,423.6666667
32,강서구,내발산동,1,1,0,47,82,1,2,0,2,25,내발산동,20426.5
33,강서구,등촌동,2,1,1,73,112,3,8,2,2,55,등촌동,101165
34,강서구,마곡동,0,0,0,71,145,0,7,1,3,79,마곡동,18386.83333
35,강서구,방화동,2,2,2,73,84,1,4,1,7,51,방화동,21531.83333
36,강서구,염창동,1,1,0,30,43,0,3,0,0,23,염창동,12074
37,강서구,오곡동,0,0,0,2,0,0,0,0,0,1,오곡동,423.6666667
38,강서구,오쇠동,0,0,0,2,0,0,0,0,0,0,오쇠동,423.6666667
