,B_시군구,B_동,경찰서,공원,백화점,버스,병원,소방서,약국,영화관,지하철,편의점
0,강남구,개포동,3,0,0,78,90,1,5,0,3,37
1,강남구,논현동,2,0,0,44,455,1,15,3,5,121
2,강남구,대치동,2,0,1,64,283,0,8,0,5,101
3,강남구,도곡동,1,0,0,44,130,0,5,0,4,38
4,강남구,삼성동,2,1,1,51,178,3,7,1,5,86
5,강남구,세곡동,1,0,0,34,18,0,2,0,0,5
6,강남구,수서동,1,0,1,27,38,1,2,0,2,16
7,강남구,신사동,1,1,0,22,644,0,11,4,2,70
8,강남구,압구정동,1,0,1,11,14,0,0,0,0,8
9,강남구,역삼동,1,0,1,68,546,1,13,2,3,194
10,강남구,율현동,0,1,0,13,5,0,0,0,0,2
11,강남구,일원동,0,1,0,44,48,0,1,0,2,19
12,강남구,자곡동,0,0,0,17,9,0,0,0,0,10
13,강남구,청담동,1,1,0,22,248,0,5,0,0,49
14,강동구,강일동,1,0,0,47,27,0,3,0,0,11
15,강동구,고덕동,0,1,0,41,46,1,1,0,0,10
16,강동구,길동,0,1,0,37,111,1,7,0,1,49
17,강동구,둔촌동,2,1,0,36,29,0,6,0,0,17
18,강동구,명일동,1,1,1,37,133,0,2,0,2,24
19,강동구,상일동,1,1,0,53,27,0,2,0,1,13
20,강동구,성내동,2,0,0,56,174,3,9,0,5,62
21,강동구,암사동,1,0,0,26,84,1,4,0,1,39
22,강동구,천호동,2,1,3,55,197,1,7,1,1,71
23,강북구,미아동,2,0,2,153,240,2,8,0,5,90
24,강북구,번동,3,1,0,98,74,3,2,1,1,39
25,강북구,수유동,4,0,0,144,142,1,7,1,2,82
26,강북구,우이동,0,1,0,17,6,0,1,0,3,10
27,강서구,가양동,0,2,2,40,58,0,4,0,1,24
28,강서구,개화동,0,0,0,9,0,1,0,0,1,2
29,강서구,공항동,0,0,0,40,22,1,1,0,2,26
30,강서구,과해동,0,0,0,2,2,0,0,0,0,2
31,강서구,내발산동,1,1,0,47,82,1,2,0,2,25
32,강서구,등촌동,2,1,1,73,112,3,8,2,2,55
33,강서구,마곡동,0,0,0,71,145,0,7,1,3,79
34,강서구,방화동,2,2,2,73,84,1,4,1,7,51
35,강서구,염창동,1,1,0,30,43,0,3,0,0,23
36,강서구,오곡동,0,0,0,2,0,0,0,0,0,1
37,강서구,오쇠동,0,0,0,2,0,0,0,0,0,0
38,강서구,외발산동,0,0,0,22,0,0,0,0,0,2
39,강서구,화곡동,5,1,0,189,324,1,15,1,3,156
40,관악구,남현동,1,0,1,8,28,0,1,0,2,16
41,관악구,봉천동,4,1,1,195,357,4,18,1,3,169
42,관악구,신림동,5,2,0,266,312,2,26,1,2,208
43,광진구,광장동,1,1,0,36,28,0,3,0,1,21
44,광진구,구의동,2,0,1,56,117,3,4,1,2,56
45,광진구,군자동,0,0,0,23,38,0,2,1,0,25
46,광진구,능동,0,1,0,8,21,1,0,0,3,16
47,광진구,자양동,4,0,2,54,163,1,3,2,2,80
48,광진구,중곡동,4,0,0,89,133,1,6,0,1,59
49,광진구,화양동,1,0,0,15,58,0,2,1,2,52
