,정류소명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,종로2가사거리,서울특별시 종로구 종로2가,126.9889520309854,37.57068007500305,B,1111013800,서울특별시,종로구,종로2가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
1,창경궁.서울대학교병원,서울특별시 종로구 와룡동,126.9912145889655,37.58234273682689,B,1111013000,서울특별시,종로구,와룡동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
2,명륜3가.성대입구,서울특별시 종로구 명륜4가,127.0000724568903,37.58223134053387,B,1111017200,서울특별시,종로구,명륜4가,H,1111065000,서울특별시,종로구,혜화동
3,종로2가.삼일교,서울특별시 종로구 관철동,126.9859865803524,37.56910482023577,B,1111013500,서울특별시,종로구,관철동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
4,혜화동로터리.여운형활동터,서울특별시 종로구 혜화동,127.0006204504988,37.58685523599436,B,1111016900,서울특별시,종로구,혜화동,H,1111065000,서울특별시,종로구,혜화동
5,서대문역사거리,서울특별시 종로구 평동,126.9668437433932,37.5678972658658,B,1111017700,서울특별시,종로구,평동,H,1111058000,서울특별시,종로구,교남동
6,서울역사박물관.경희궁앞,서울특별시 종로구 신문로2가,126.9686219285053,37.57074850159037,B,1111012100,서울특별시,종로구,신문로2가,H,1111053000,서울특별시,종로구,사직동
7,서울역사박물관.경희궁앞,서울특별시 종로구 신문로2가,126.9686219285053,37.57074850159037,B,1111012100,서울특별시,종로구,신문로2가,H,1111053000,서울특별시,종로구,사직동
8,광화문,서울특별시 종로구 신문로1가,126.9739016142063,37.57017314981071,B,1111012000,서울특별시,종로구,신문로1가,H,1111053000,서울특별시,종로구,사직동
9,광화문,서울특별시 종로구 종로1가,126.9801499909071,37.57025725733926,B,1111012600,서울특별시,종로구,종로1가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
10,종로1가,서울특별시 종로구 종로1가,126.9801499909071,37.57025725733926,B,1111012600,서울특별시,종로구,종로1가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
11,종로1가,서울특별시 종로구 종로1가,126.9801499909071,37.57025725733926,B,1111012600,서울특별시,종로구,종로1가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
12,종로2가,서울특별시 종로구 종로2가,126.9889520309854,37.57068007500305,B,1111013800,서울특별시,종로구,종로2가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
13,종로2가,서울특별시 종로구 종로2가,126.9889520309854,37.57068007500305,B,1111013800,서울특별시,종로구,종로2가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
14,종로3가.탑골공원,서울특별시 종로구 종로3가,126.9923298415787,37.57038842029531,B,1111015600,서울특별시,종로구,종로3가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
15,종로3가.탑골공원,서울특별시 종로구 종로3가,126.9923298415787,37.57038842029531,B,1111015600,서울특별시,종로구,종로3가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
16,종로4가.종묘,서울특별시 종로구 종로3가,126.9923298415787,37.57038842029531,B,1111015600,서울특별시,종로구,종로3가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
17,종로4가.종묘,서울특별시 종로구 종로4가,126.997813040191,37.57086077075445,B,1111016100,서울특별시,종로구,종로4가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
18,종로5가.광장시장,서울특별시 종로구 종로4가,126.997813040191,37.57086077075445,B,1111016100,서울특별시,종로구,종로4가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
19,종로5가.광장시장,서울특별시 종로구 종로4가,126.997813040191,37.57086077075445,B,1111016100,서울특별시,종로구,종로4가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
