,지하철역,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,남영,서울특별시 용산구 갈월동,126.9713,37.541021,B,1117010400,서울특별시,용산구,갈월동,H,1117053000,서울특별시,용산구,남영동
1,용산,서울특별시 용산구 한강로3가,126.964561,37.529849,B,1117012800,서울특별시,용산구,한강로3가,H,1117062500,서울특별시,용산구,한강로동
2,노량진,서울특별시 동작구 노량진동,126.942454,37.514219,B,1159010100,서울특별시,동작구,노량진동,H,1159051000,서울특별시,동작구,노량진1동
3,대방,서울특별시 영등포구 신길동,126.926382,37.513342,B,1156013200,서울특별시,영등포구,신길동,H,1156069000,서울특별시,영등포구,신길7동
4,영등포,서울특별시 영등포구 영등포동,126.907628,37.515504,B,1156010100,서울특별시,영등포구,영등포동,H,1156051500,서울특별시,영등포구,영등포본동
5,신도림,서울특별시 구로구 신도림동,126.891295,37.508725,B,1153010100,서울특별시,구로구,신도림동,H,1153056000,서울특별시,구로구,구로5동
6,회기,서울특별시 동대문구 휘경동,127.057583,37.58946,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
7,외대앞,서울특별시 동대문구 이문동,127.063549,37.596073,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
8,신이문,서울특별시 동대문구 이문동,127.067325,37.601854,B,1123011000,서울특별시,동대문구,이문동,H,1123075000,서울특별시,동대문구,이문2동
9,광운대,서울특별시 노원구 월계동,127.061835,37.623632,B,1135010200,서울특별시,노원구,월계동,H,1135056000,서울특별시,노원구,월계1동
10,월계,서울특별시 노원구 월계동,127.058831,37.633212,B,1135010200,서울특별시,노원구,월계동,H,1135057000,서울특별시,노원구,월계2동
11,녹천,서울특별시 도봉구 창동,127.051269,37.644799,B,1132010700,서울특별시,도봉구,창동,H,1132051100,서울특별시,도봉구,창1동
12,창동,서울특별시 도봉구 창동,127.047731,37.653166,B,1132010700,서울특별시,도봉구,창동,H,1132051500,서울특별시,도봉구,창5동
13,신길,서울특별시 영등포구 신길동,126.917169,37.517122,B,1156013200,서울특별시,영등포구,신길동,H,1156063000,서울특별시,영등포구,신길1동
14,석계,서울특별시 성북구 석관동,127.065851,37.614805,B,1129013900,서울특별시,성북구,석관동,H,1129081000,서울특별시,성북구,석관동
15,구로,서울특별시 구로구 구로동,126.881966,37.503039,B,1153010200,서울특별시,구로구,구로동,H,1153056000,서울특별시,구로구,구로5동
16,가산디지털단지,서울특별시 금천구 가산동,126.882343,37.481072,B,1154510100,서울특별시,금천구,가산동,H,1154551000,서울특별시,금천구,가산동
17,금천구청,서울특별시 금천구 시흥동,126.89398,37.455626,B,1154510300,서울특별시,금천구,시흥동,H,1154567000,서울특별시,금천구,시흥1동
18,독산,서울특별시 금천구 가산동,126.889249,37.466613,B,1154510100,서울특별시,금천구,가산동,H,1154551000,서울특별시,금천구,가산동
19,개봉,서울특별시 구로구 개봉동,126.85868,37.494594,B,1153010700,서울특별시,구로구,개봉동,H,1153075000,서울특별시,구로구,개봉2동
20,오류동,서울특별시 구로구 오류동,126.845365,37.494526,B,1153010800,서울특별시,구로구,오류동,H,1153078000,서울특별시,구로구,오류2동
21,구일,서울특별시 구로구 구로동,126.870793,37.496756,B,1153010200,서울특별시,구로구,구로동,H,1153053000,서울특별시,구로구,구로2동
22,온수,서울특별시 구로구 온수동,126.823388,37.492258,B,1153011000,서울특별시,구로구,온수동,H,1153079000,서울특별시,구로구,수궁동
23,방학,서울특별시 도봉구 방학동,127.044273,37.667503,B,1132010600,서울특별시,도봉구,방학동,H,1132069000,서울특별시,도봉구,방학1동
24,도봉,서울특별시 도봉구 도봉동,127.045595,37.679563,B,1132010800,서울특별시,도봉구,도봉동,H,1132052200,서울특별시,도봉구,도봉2동
25,도봉산,서울특별시 도봉구 도봉동,127.046222,37.689313,B,1132010800,서울특별시,도봉구,도봉동,H,1132052200,서울특별시,도봉구,도봉2동
26,종로3가,서울특별시 종로구 묘동,126.991806,37.571607,B,1111015100,서울특별시,종로구,묘동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
27,종로5가,서울특별시 종로구 종로5가,127.001849,37.570926,B,1111016300,서울특별시,종로구,종로5가,H,1111063000,서울특별시,종로구,종로5.6가동
28,동대문,서울특별시 종로구 종로6가,127.009745,37.57142,B,1111016400,서울특별시,종로구,종로6가,H,1111063000,서울특별시,종로구,종로5.6가동
29,신설동,서울특별시 동대문구 신설동,127.025087,37.575297,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
30,제기동,서울특별시 동대문구 용두동,127.034893,37.578103,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
