,공원명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,남산도시자연공원,서울 중구 예장동 산 5-6,126.989316855952,37.5524979951415,B,1114014200,서울특별시,중구,예장동,H,1114057000,서울특별시,중구,필동
1,길동생태공원,서울 강동구 길동 산 7-3,127.15541997637,37.5408201666847,B,1174010500,서울특별시,강동구,길동,H,1174068500,서울특별시,강동구,길동
2,서울숲,서울 성동구 성수동1가 678-1,127.037617759165,37.5443222301513,B,1120011400,서울특별시,성동구,성수동1가,H,1120065000,서울특별시,성동구,성수1가1동
3,월드컵공원,서울 마포구 성산동 390-1,126.897635431027,37.5631939895966,B,1144012500,서울특별시,마포구,성산동,H,1144073000,서울특별시,마포구,성산2동
4,광화문시민열린마당,서울 종로구 세종로 76-14,126.978061264646,37.575017745234,B,1111011900,서울특별시,종로구,세종로,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
5,중마루근린공원,서울 영등포구 영등포동2가 222,126.911545250304,37.5196617260628,B,1156010300,서울특별시,영등포구,영등포동2가,H,1156053500,서울특별시,영등포구,영등포동
6,응봉공원,서울 성동구 응봉동 234-3,127.037675950511,37.5520239485513,B,1120010800,서울특별시,성동구,응봉동,H,1120058000,서울특별시,성동구,응봉동
7,매화근린공원,서울 강서구 등촌동,126.860946982509,37.5574585792214,B,1150010200,서울특별시,강서구,등촌동,H,1150052000,서울특별시,강서구,등촌1동
8,성수근린공원,서울 성동구 성수동2가 302-1,127.052446160552,37.5448499668206,B,1120011500,서울특별시,성동구,성수동2가,H,1120069000,서울특별시,성동구,성수2가3동
9,샛마을근린공원,서울 강동구 명일동 288,127.147901857504,37.5498037664393,B,1174010100,서울특별시,강동구,명일동,H,1174053000,서울특별시,강동구,명일1동
10,여의도근린공원,서울 영등포구 여의도동 85,126.93512931714196,37.52638860108943,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
11,간데메근린공원,서울 동대문구 답십리동 471,127.048721478311,37.5733627114637,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
12,훈련원근린공원,서울 중구 을지로5가 403-1,127.003671928773,37.5673684751397,B,1114015100,서울특별시,중구,을지로5가,H,1114060500,서울특별시,중구,을지로동
13,영등포근린공원,서울 영등포구 여의도동 85,126.93512931714196,37.52638860108943,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
14,보라매근린공원,서울 동작구 신대방동 722,126.92051756183096,37.49328307697023,B,1159010900,서울특별시,동작구,신대방동,H,1159068000,서울특별시,동작구,신대방2동
15,어린이대공원,서울 광진구 능동 259-1,127.0837947580967,37.55147494441319,B,1121510200,서울특별시,광진구,능동,H,1121578000,서울특별시,광진구,능동
16,천호근린공원,서울 강동구 천호동 360,127.12642863661,37.5449885478155,B,1174010900,서울특별시,강동구,천호동,H,1174061000,서울특별시,강동구,천호2동
17,용산가족공원,서울 용산구 용산동6가 168-6,126.983574610978,37.5217984491514,B,1117013500,서울특별시,용산구,용산동6가,H,1117069000,서울특별시,용산구,서빙고동
18,독립근린공원,서울 서대문구 현저동 101,126.955398396095,37.5744058898155,B,1141010900,서울특별시,서대문구,현저동,H,1141052000,서울특별시,서대문구,천연동
19,낙산근린공원,서울 종로구 동숭동 산 2-10,127.007521763748,37.58056966858,B,1111016800,서울특별시,종로구,동숭동,H,1111064000,서울특별시,종로구,이화동
20,양재시민의숲,서울 서초구 양재동 236,127.035871693026,37.4709233091882,B,1165010200,서울특별시,서초구,양재동,H,1165065200,서울특별시,서초구,양재2동
21,관악산도시자연공원,서울 관악구 신림동,126.947220872691,37.4584938214641,B,1162010200,서울특별시,관악구,신림동,H,1162073500,서울특별시,관악구,대학동
22,효창근린공원,서울 용산구 효창동 255,126.961037545693,37.5450822374747,B,1117011900,서울특별시,용산구,효창동,H,1117058000,서울특별시,용산구,효창동
23,개운산근린공원,서울 성북구 돈암동 산 6-1,127.02641548812386,37.59944724699987,B,1129010300,서울특별시,성북구,돈암동,H,1129058000,서울특별시,성북구,돈암1동
24,개웅산근린공원,서울 구로구 개봉동 298-86,126.848056078404,37.485000326533,B,1153010700,서울특별시,구로구,개봉동,H,1153076000,서울특별시,구로구,개봉3동
25,경희궁,서울 종로구 신문로2가 2-1,126.968649079046,37.5707881525953,B,1111012100,서울특별시,종로구,신문로2가,H,1111053000,서울특별시,종로구,사직동
26,국립현충원,서울 동작구 동작동 215-5,126.97152424749936,37.49943683156676,B,1159010600,서울특별시,동작구,동작동,H,1159063000,서울특별시,동작구,사당2동
