,영화관명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,(주)케이엠티브이,서울특별시 양천구 목동,126.8711041,37.5294023,B,1147010200,서울특별시,양천구,목동,H,1147051000,서울특별시,양천구,목1동
1,CGV강남제,서울특별시 강남구 역삼동,127.026319,37.5015587,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
2,CGV강변DX,서울특별시 서초구 서초동,127.0136295,37.4852137,B,1165010800,서울특별시,서초구,서초동,H,1165053000,서울특별시,서초구,서초3동
3,CGV강변제[CGV아트하우스],서울특별시 광진구 구의동,127.0957088,37.5349372,B,1121510300,서울특별시,광진구,구의동,H,1121587000,서울특별시,광진구,구의3동
4,CGV건대입구제,서울특별시 광진구 자양동,127.0669122,37.5397767,B,1121510500,서울특별시,광진구,자양동,H,1121584700,서울특별시,광진구,자양4동
5,CGV구로제(CGV아트하우스),서울특별시 구로구 구로동,126.8825372,37.5013174,B,1153010200,서울특별시,구로구,구로동,H,1153056000,서울특별시,구로구,구로5동
6,CGV대학로,서울특별시 종로구 명륜2가,126.999828,37.583422,B,1111017100,서울특별시,종로구,명륜2가,H,1111065000,서울특별시,종로구,혜화동
7,CGV동대문제,서울특별시 중구 을지로6가,127.0078661,37.5689617,B,1114014800,서울특별시,중구,을지로6가,H,1114059000,서울특별시,중구,광희동
8,CGV등촌,서울특별시 강서구 등촌동,126.85602,37.5578035,B,1150010200,서울특별시,강서구,등촌동,H,1150052000,서울특별시,강서구,등촌1동
9,CGV명동,서울특별시 중구 명동2가,126.9828889,37.5633883,B,1114012700,서울특별시,중구,명동2가,H,1114055000,서울특별시,중구,명동
10,CGV명동역씨네라이브러리ART,서울특별시 중구 충무로2가,126.9853147,37.561253,B,1114012500,서울특별시,중구,충무로2가,H,1114055000,서울특별시,중구,명동
11,CGV목동(),서울특별시 양천구 목동,126.8750099,37.5262575,B,1147010200,서울특별시,양천구,목동,H,1147051000,서울특별시,양천구,목1동
12,CGV불광제,서울특별시 은평구 대조동,126.9288713,37.6097385,B,1138010600,서울특별시,은평구,대조동,H,1138057000,서울특별시,은평구,대조동
13,CGV상봉,서울특별시 중랑구 상봉동,127.0923835,37.5977689,B,1126010200,서울특별시,중랑구,상봉동,H,1126059000,서울특별시,중랑구,상봉2동
14,CGV성신여대입구,서울특별시 성북구 동선동1가,127.0170483,37.5925601,B,1129011600,서울특별시,성북구,동선동1가,H,1129057500,서울특별시,성북구,동선동
15,CGV송파SPHEREX,서울특별시 송파구 문정동,127.1249983,37.4775778,B,1171010800,서울특별시,송파구,문정동,H,1171064200,서울특별시,송파구,문정2동
16,CGV수유,서울특별시 강북구 수유동,127.0300198,37.642338,B,1130510300,서울특별시,강북구,수유동,H,1130563500,서울특별시,강북구,수유3동
17,CGV신촌아트레온[CGV아트하우스],서울특별시 서대문구 창천동,126.940327,37.55648189999999,B,1141011600,서울특별시,서대문구,창천동,H,1141058500,서울특별시,서대문구,신촌동
