,지구대파출소,청,서,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,논현1파출소,서울청,서울강남경찰서,강남구 논현동 58-13,127.0293161,37.5137912,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
1,논현2파출소,서울청,서울강남경찰서,강남구 논현동 89-13,127.0338754,37.5152199,B,1168010800,서울특별시,강남구,논현동,H,1168053100,서울특별시,강남구,논현2동
2,삼성1파출소,서울청,서울강남경찰서,강남구 삼성동 107-3,127.0604399,37.514852,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
3,삼성2파출소,서울청,서울강남경찰서,강남구 삼성동 114-6,127.0480628,37.5112893,B,1168010500,서울특별시,강남구,삼성동,H,1168059000,서울특별시,강남구,삼성2동
4,서울강남경찰서,서울청,서울강남경찰서,강남구 대치동 998,127.0671769,37.5090362,B,1168010600,서울특별시,강남구,대치동,H,1168061000,서울특별시,강남구,대치2동
5,신사파출소,서울청,서울강남경찰서,강남구 신사동 539-12,127.0241375,37.5184333,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
6,압구정파출소,서울청,서울강남경찰서,강남구 압구정동 483,127.0356169,37.5293162,B,1168011000,서울특별시,강남구,압구정동,H,1168054500,서울특별시,강남구,압구정동
7,역삼지구대,서울청,서울강남경찰서,강남구 역삼동 687-10,127.040992,37.5084025,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
8,청담파출소,서울청,서울강남경찰서,강남구 청담동 66-3,127.0541778,37.5207511,B,1168010400,서울특별시,강남구,청담동,H,1168056500,서울특별시,강남구,청담동
9,강일파출소,서울청,서울강동경찰서,강동구 강일동 678-2,127.1732447,37.5647657,B,1174011000,서울특별시,강동구,강일동,H,1174051500,서울특별시,강동구,강일동
10,광나루한강순찰대,서울청,서울강동경찰서,서울시 강동구 천호동 488-1,127.1183142,37.5459662,B,1174010900,서울특별시,강동구,천호동,H,1174061000,서울특별시,강동구,천호2동
11,길동지구대,서울청,서울강동경찰서,강동구 길동  228-6,127.1392008,37.5294547,B,1174010600,서울특별시,강동구,둔촌동,H,1174070000,서울특별시,강동구,둔촌2동
12,둔촌파출소,서울청,서울강동경찰서,강동구 둔촌동 115,127.1457436,37.5253579,B,1174010600,서울특별시,강동구,둔촌동,H,1174070000,서울특별시,강동구,둔촌2동
13,명일파출소,서울청,서울강동경찰서,강동구 명일동  47-20,127.156067,37.55364,B,1174010100,서울특별시,강동구,명일동,H,1174054000,서울특별시,강동구,명일2동
14,상일파출소,서울청,서울강동경찰서,강동구 상일동 121,127.1673955,37.5470931,B,1174010300,서울특별시,강동구,상일동,H,1174052500,서울특별시,강동구,상일1동
15,서울강동경찰서,서울청,서울강동경찰서,강동구 성내1동 540-1,127.1269713,37.5286036,B,1174010800,서울특별시,강동구,성내동,H,1174064000,서울특별시,강동구,성내1동
16,성내지구대,서울청,서울강동경찰서,강동구 성내1동 540-1,127.1269239,37.5284682,B,1174010800,서울특별시,강동구,성내동,H,1174064000,서울특별시,강동구,성내1동
17,암사지구대,서울청,서울강동경찰서,강동구 암사3동 414-2,127.1408238,37.5549615,B,1174010700,서울특별시,강동구,암사동,H,1174059000,서울특별시,강동구,암사3동
18,천호지구대,서울청,서울강동경찰서,강동구 천호2동337-121,127.120725,37.5425667,B,1174010900,서울특별시,강동구,천호동,H,1174061000,서울특별시,강동구,천호2동
19,미아지구대,서울청,서울강북경찰서,강북구 미아동 327-1번지,127.028275,37.6201487,B,1130510100,서울특별시,강북구,미아동,H,1130555500,서울특별시,강북구,송천동
20,번3파출소,서울청,서울강북경찰서,강북구 번3동 242-6호,127.0481601,37.6236293,B,1130510200,서울특별시,강북구,번동,H,1130560800,서울특별시,강북구,번3동
21,번동파출소,서울청,서울강북경찰서,강북구 번동 410-23,127.0326,37.6359904,B,1130510200,서울특별시,강북구,번동,H,1130559500,서울특별시,강북구,번1동
22,서울강북경찰서,서울청,서울강북경찰서,강북구 번1동 415-15,127.0273396,37.6374119,B,1130510200,서울특별시,강북구,번동,H,1130559500,서울특별시,강북구,번1동
23,솔샘지구대,서울청,서울강북경찰서,강북구 미아동 860-146,127.030425,37.6163237,B,1130510100,서울특별시,강북구,미아동,H,1130554500,서울특별시,강북구,송중동
24,수유1파출소,서울청,서울강북경찰서,강북구 수유1동 605-409호,127.017613,37.630857,B,1130510300,서울특별시,강북구,수유동,H,1130561500,서울특별시,강북구,수유1동
25,수유2파출소,서울청,서울강북경찰서,강북구 수유2동 605-512,127.0170967,37.6409313,B,1130510300,서울특별시,강북구,수유동,H,1130562500,서울특별시,강북구,수유2동
26,수유3파출소,서울청,서울강북경찰서,강북구 수유3동 166-75,127.0266,37.6443571,B,1130510300,서울특별시,강북구,수유동,H,1130563500,서울특별시,강북구,수유3동
27,인수파출소,서울청,서울강북경찰서,강북구 수유5동 605-188,127.019253,37.6353036,B,1130510300,서울특별시,강북구,수유동,H,1130566000,서울특별시,강북구,인수동
28,가양지구대,서울청,서울강서경찰서,강서구 등촌3동 706-1,126.8500673,37.5592983,B,1150010200,서울특별시,강서구,등촌동,H,1150053500,서울특별시,강서구,등촌3동
29,곰달래지구대,서울청,서울강서경찰서,강서구 화곡4동 776-4,126.8631866,37.5328992,B,1150010300,서울특별시,강서구,화곡동,H,1150057000,서울특별시,강서구,화곡4동
