,소방서명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,삼성119안전센터,서울특별시 강남구 삼성동,127.0669195,37.5103131,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
1,영동119안전센터,서울특별시 강남구 논현동,127.036913,37.522132,B,1168010800,서울특별시,강남구,논현동,H,1168053100,서울특별시,강남구,논현2동
2,강남119구조대,서울특별시 강남구 삼성동,127.0667838,37.5102591,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
3,역삼119안전센터,서울특별시 강남구 역삼동,127.0423982,37.4971525,B,1168010100,서울특별시,강남구,역삼동,H,1168065000,서울특별시,강남구,역삼2동
4,개포119안전센터,서울특별시 강남구 개포동,127.0497891,37.4746445,B,1168010300,서울특별시,강남구,개포동,H,1168069000,서울특별시,강남구,개포4동
5,수서119안전센터,서울특별시 강남구 수서동,127.0929132,37.4849325,B,1168011500,서울특별시,강남구,수서동,H,1168072000,서울특별시,강남구,일원본동
6,강남소방서,서울특별시 강남구 삼성동,127.0667838,37.5102861,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
7,천호119안전센터,서울특별시 강동구 천호동,127.1314329,37.5385679,B,1174010900,서울특별시,강동구,천호동,H,1174062000,서울특별시,강동구,천호3동
8,성내119안전센터,서울특별시 강동구 성내동,127.1249574,37.5292689,B,1174010800,서울특별시,강동구,성내동,H,1174064000,서울특별시,강동구,성내1동
9,암사119안전센터,서울특별시 강동구 암사동,127.1287323,37.5540237,B,1174010700,서울특별시,강동구,암사동,H,1174058000,서울특별시,강동구,암사2동
10,강동119구조대,서울특별시 강동구 성내동,127.1249799,37.5292419,B,1174010800,서울특별시,강동구,성내동,H,1174064000,서울특별시,강동구,성내1동
11,길동119안전센터,서울특별시 강동구 길동,127.144381,37.5409027,B,1174010500,서울특별시,강동구,길동,H,1174068500,서울특별시,강동구,길동
12,강동소방서,서울특별시 강동구 성내동,127.1249687,37.5292599,B,1174010800,서울특별시,강동구,성내동,H,1174064000,서울특별시,강동구,성내1동
13,고덕119안전센터,서울특별시 강동구 고덕동,127.1520738,37.5572211,B,1174010200,서울특별시,강동구,고덕동,H,1174055000,서울특별시,강동구,고덕1동
14,번동119안전센터,서울특별시 강북구 번동,127.0376883,37.633383,B,1130510200,서울특별시,강북구,번동,H,1130560300,서울특별시,강북구,번2동
15,강북119구조대,서울특별시 강북구 번동,127.0377001,37.6333534,B,1130510200,서울특별시,강북구,번동,H,1130560300,서울특별시,강북구,번2동
16,우이119안전센터,서울특별시 강북구 수유동,127.0166457,37.640854,B,1130510300,서울특별시,강북구,수유동,H,1130566000,서울특별시,강북구,인수동
17,삼각산119안전센터,서울특별시 강북구 미아동,127.0154936,37.6199644,B,1130510100,서울특별시,강북구,미아동,H,1130557500,서울특별시,강북구,삼각산동
18,미아119안전센터,서울특별시 강북구 미아동,127.0284198,37.6200415,B,1130510100,서울특별시,강북구,미아동,H,1130555500,서울특별시,강북구,송천동
19,강북소방서,서울특별시 강북구 번동,127.0377476,37.6333573,B,1130510200,서울특별시,강북구,번동,H,1130560300,서울특별시,강북구,번2동
20,개화119안전센터,서울특별시 강서구 개화동,126.803238,37.5749194,B,1150011000,서울특별시,강서구,개화동,H,1150064000,서울특별시,강서구,방화2동
21,방화119안전센터,서울특별시 강서구 방화동,126.8141938,37.579786,B,1150010900,서울특별시,강서구,방화동,H,1150064100,서울특별시,강서구,방화3동
22,소방항공대,서울특별시 강서구 공항동,126.803119,37.558335,B,1150010800,서울특별시,강서구,공항동,H,1150062000,서울특별시,강서구,공항동
23,강서소방서,서울특별시 강서구 등촌동,126.8603443,37.5580018,B,1150010200,서울특별시,강서구,등촌동,H,1150052000,서울특별시,강서구,등촌1동
24,등촌119안전센터,서울특별시 강서구 등촌동,126.8603443,37.5580018,B,1150010200,서울특별시,강서구,등촌동,H,1150052000,서울특별시,강서구,등촌1동
25,발산119안전센터,서울특별시 강서구 내발산동,126.8369006,37.5552506,B,1150010600,서울특별시,강서구,내발산동,H,1150061100,서울특별시,강서구,발산1동
26,강서119구조대,서울특별시 강서구 등촌동,126.8603102,37.5580468,B,1150010200,서울특별시,강서구,등촌동,H,1150052000,서울특별시,강서구,등촌1동
