,병원분류명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,의원,서울특별시 강남구 도산대로 118 (논현동 신사빌딩 2층),127.0218085,37.5166042,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
1,한방병원,서울특별시 강남구 봉은사로 612 (삼성동),127.0621478,37.51427969,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
2,의원,서울특별시 영등포구 경인로 841 영등포우체국 45층 (영등포동4가),126.9087589,37.51888114,B,1156010400,서울특별시,영등포구,영등포동3가,H,1156053500,서울특별시,영등포구,영등포동
3,의원,서울특별시 용산구 유엔빌리지길 72 지하1지상12층 (한남동),127.010816,37.53218945,B,1117013100,서울특별시,용산구,한남동,H,1117068500,서울특별시,용산구,한남동
4,한의원,서울특별시 송파구 가락로 169 (송파동2층),127.1138783,37.50405979,B,1171010400,서울특별시,송파구,송파동,H,1171058000,서울특별시,송파구,송파1동
5,의원,서울특별시 강서구 양천로 366 56층 (가양동 미라클빌딩),126.8428952,37.56722796,B,1150010400,서울특별시,강서구,가양동,H,1150060300,서울특별시,강서구,가양1동
6,한의원,서울특별시 금천구 가산디지털1로 205 207호 (가산동 KCC웰츠밸리),126.8794661,37.48402924,B,1154510100,서울특별시,금천구,가산동,H,1154551000,서울특별시,금천구,가산동
7,의원,서울특별시 금천구 가산디지털1로 186 4층 403호 (가산동 제이플라츠),126.881583,37.48191219,B,1154510100,서울특별시,금천구,가산동,H,1154551000,서울특별시,금천구,가산동
8,한의원,서울특별시 동작구 사당로 293 1층 (사당동),126.980072,37.48495624,B,1159010700,서울특별시,동작구,사당동,H,1159063000,서울특별시,동작구,사당2동
9,의원,서울특별시 강남구 테헤란로 128  (역삼동),127.0325921,37.49912943,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
10,치과의원,서울특별시 서초구 사평대로 368 중앙빌딩 5층 (서초동),127.0235193,37.50378798,B,1165010800,서울특별시,서초구,서초동,H,1165053100,서울특별시,서초구,서초4동
11,의원,서울특별시 구로구 가마산로27길 14 신원빌딩 2층 (구로동),126.8918534,37.49772931,B,1153010200,서울특별시,구로구,구로동,H,1153056000,서울특별시,구로구,구로5동
12,한의원,서울특별시 은평구 통일로 626 유림빌딩 2층 (녹번동),126.9354072,37.60247202,B,1138010200,서울특별시,은평구,녹번동,H,1138051000,서울특별시,은평구,녹번동
13,의원,서울특별시 서초구 강남대로 547 2층 (반포동 한국교과서연구재단빌딩),127.0210422,37.5106505,B,1165010700,서울특별시,서초구,반포동,H,1165056000,서울특별시,서초구,반포1동
14,병원,서울특별시 중랑구 면목로 473 (상봉동),127.0856304,37.59405013,B,1126010200,서울특별시,중랑구,상봉동,H,1126059000,서울특별시,중랑구,상봉2동
15,한의원,서울특별시 강남구 언주로152길 14 로데오빌딩 5층 (신사동),127.0348494,37.52262635,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
16,의원,서울특별시 관악구 은천로 109 2층 201호 (봉천동 한독빌딩),126.9475559,37.48700373,B,1162010100,서울특별시,관악구,봉천동,H,1162056500,서울특별시,관악구,성현동
17,의원,서울특별시 관악구 신림로 339 (신림동),126.9292787,37.48455869,B,1162010200,서울특별시,관악구,신림동,H,1162069500,서울특별시,관악구,신림동
18,의원,서울특별시 강남구 강남대로 390 21층 (역삼동),127.0285792,37.49784022,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
19,의원,서울특별시 중랑구 망우로 463 2층 (망우동),127.1036389,37.60065978,B,1126010500,서울특별시,중랑구,망우동,H,1126065500,서울특별시,중랑구,망우본동
20,의원,서울특별시 광진구 광나루로 608 (구의동),127.0952833,37.54118611,B,1121510300,서울특별시,광진구,구의동,H,1121587000,서울특별시,광진구,구의3동
21,한의원,서울특별시 강동구 천중로52길 27,127.1439621,37.53955527,B,1174010500,서울특별시,강동구,길동,H,1174068500,서울특별시,강동구,길동
22,한의원,서울특별시 구로구 천왕로 106 골드프라자 401402호 (오류동),126.8388662,37.48597746,B,1153011100,서울특별시,구로구,천왕동,H,1153078000,서울특별시,구로구,오류2동
23,한의원,서울특별시 강남구 봉은사로73길 47 1층 (삼성동),127.0494891,37.51540291,B,1168010500,서울특별시,강남구,삼성동,H,1168059000,서울특별시,강남구,삼성2동
24,한의원,서울특별시 구로구 도림로26길 10 해맑은미소 56층 (구로동),126.8942649,37.49097394,B,1153010200,서울특별시,구로구,구로동,H,1153054000,서울특별시,구로구,구로3동
25,한의원,서울특별시 서대문구 수색로2길 6 2층 (남가좌동),126.9160043,37.57022183,B,1141012000,서울특별시,서대문구,남가좌동,H,1141069000,서울특별시,서대문구,남가좌1동
26,한의원,서울특별시 강동구 올림픽로 664 306호 (천호동 대우 한강 베네시티),127.1249758,37.54055538,B,1174010900,서울특별시,강동구,천호동,H,1174061000,서울특별시,강동구,천호2동
27,의원,서울특별시 양천구 등촌로 2 202호 (목동),126.8643914,37.5303245,B,1147010200,서울특별시,양천구,목동,H,1147054000,서울특별시,양천구,목4동
28,의원,서울특별시 강남구 삼성로 155  (대치동),127.0629541,37.4938805,B,1168010600,서울특별시,강남구,대치동,H,1168060000,서울특별시,강남구,대치1동
29,의원,서울특별시 강남구 남부순환로 2912,127.0561141,37.4906822,B,1168010600,서울특별시,강남구,대치동,H,1168060000,서울특별시,강남구,대치1동
30,한의원,서울특별시 종로구 인사동11길 16-1 (견지동),126.9837624,37.57385458,B,1111012900,서울특별시,종로구,견지동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
