,약국명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,대림약국,"서울특별시 구로구 신도림로 16 주상가동 209호 (신도림동, 대림2차)",126.8779061,37.5055754,B,1153010100,서울특별시,구로구,신도림동,H,1153051000,서울특별시,구로구,신도림동
1,대한약국,"서울특별시 종로구 대학로5길 57 1,2층 (연건동)",127.0015857,37.5796275,B,1111016600,서울특별시,종로구,연건동,H,1111064000,서울특별시,종로구,이화동
2,하늘후문약국,"서울특별시 동대문구 황물로 168 한성아펠시티 122,123호 (답십리동)",127.0562375,37.5651861,B,1123010500,서울특별시,동대문구,답십리동,H,1123061000,서울특별시,동대문구,답십리2동
3,다온약국,"서울특별시 노원구 노해로 495 삼성빌딩 1층 102,103호 (상계동)",127.0631037,37.6551207,B,1135010500,서울특별시,노원구,상계동,H,1135064000,서울특별시,노원구,상계2동
4,세종약국,서울특별시 광진구 능동로 209 세종대학교 대양 AI센터 1층 (군자동),127.073884,37.5514706,B,1121510900,서울특별시,광진구,군자동,H,1121573000,서울특별시,광진구,군자동
5,우리정다운약국,서울특별시 은평구 갈현로41길 10-1 (갈현동),126.916306,37.6245986,B,1138010400,서울특별시,은평구,갈현동,H,1138055100,서울특별시,은평구,갈현1동
6,명진팜약국,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 110호 (마곡동),126.8259745,37.5680801,B,1150010500,서울특별시,강서구,마곡동,H,1150060300,서울특별시,강서구,가양1동
7,광주약국,서울특별시 동작구 동작대로 127 1층 (사당동),126.9819529,37.4879721,B,1159010700,서울특별시,동작구,사당동,H,1159063000,서울특별시,동작구,사당2동
8,하은약국,서울특별시 강북구 노해로 118 1층 (수유동),127.024662,37.6455941,B,1130510300,서울특별시,강북구,수유동,H,1130563500,서울특별시,강북구,수유3동
9,햇님온누리약국,"서울특별시 영등포구 의사당대로 108 304호 (여의도동, 아일렉스)",126.9238388,37.521005099999996,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
10,솔약국,"서울특별시 서초구 효령로 237 103-1호 (서초동, 서초한신리빙타워)",126.9813406,37.4826983,B,1159010700,서울특별시,동작구,사당동,H,1159062000,서울특별시,동작구,사당1동
11,국제약국,"서울특별시 동대문구 답십리로 252 1층 (장안동, 세현빌딩)",127.0682164,37.5722482,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
12,조은약국,"서울특별시 성동구 자동차시장1길 85 (용답동,1층)",127.0671622,37.5605143,B,1120012200,서울특별시,성동구,용답동,H,1120079000,서울특별시,성동구,용답동
13,준효약국,서울특별시 노원구 공릉로 138 준효약국 1층 (공릉동),127.0793745,37.6221926,B,1135010300,서울특별시,노원구,공릉동,H,1135060000,서울특별시,노원구,공릉2동
14,햇빛약국,서울특별시 도봉구 도당로13길 16 (방학동),127.0356,37.6655475,B,1132010600,서울특별시,도봉구,방학동,H,1132070000,서울특별시,도봉구,방학2동
15,옥광약국,서울특별시 종로구 창경궁로 162-1 (원남동),126.9974528,37.5768956,B,1111015900,서울특별시,종로구,원남동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
16,메디컬제일약국,"서울특별시 서초구 방배로 225 1층 (방배동, 성은빌딩)",126.9897944,37.4931756,B,1165010100,서울특별시,서초구,방배동,H,1165059000,서울특별시,서초구,방배본동
17,선한약국,"서울특별시 강남구 논현로 605 1층 (논현동, 승진빌딩)",127.0333814,37.5077609,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
18,종로프라자약국,서울특별시 양천구 목동로27길 5 1층 (신정동),126.8632685,37.5284729,B,1147010100,서울특별시,양천구,신정동,H,1147065000,서울특별시,양천구,신정4동
19,비타민약국,"서울특별시 서초구 방배로 32 2층 2호 (방배동, 방배쇼핑센터)",127.0003899,37.4778415,B,1165010100,서울특별시,서초구,방배동,H,1165062000,서울특별시,서초구,방배3동
20,선사약국,서울특별시 강동구 올림픽로 800 (암사동),126.9447636,37.5077974,B,1159010100,서울특별시,동작구,노량진동,H,1159051000,서울특별시,동작구,노량진1동
21,원약국,"서울특별시 서초구 서초중앙로 36 1층 (서초동, 준영빌딩)",127.0162228,37.4855763,B,1165010800,서울특별시,서초구,서초동,H,1165051000,서울특별시,서초구,서초1동
22,희병약국,서울특별시 강남구 봉은사로43길 8 1층 (논현동),127.0399697,37.5098079,B,1168010800,서울특별시,강남구,논현동,H,1168053100,서울특별시,강남구,논현2동
23,강남제일약국,서울특별시 강남구 테헤란로 139 (역삼동),127.0343432,37.5004008,B,1168010100,서울특별시,강남구,역삼동,H,1168064000,서울특별시,강남구,역삼1동
24,래미안나나약국,"서울특별시 구로구 디지털로31길 86 (구로동, 삼성래미안아파트)",126.891386,37.4866667,B,1153010200,서울특별시,구로구,구로동,H,1153054000,서울특별시,구로구,구로3동
25,다나약국,서울특별시 구로구 경인로 216 (오류동),126.8448776,37.4961441,B,1153010800,서울특별시,구로구,오류동,H,1153077000,서울특별시,구로구,오류1동
26,아라약국,"서울특별시 서초구 서초대로77길 3 111호 (서초동, 아라타워)",127.0264975,37.4980667,B,1165010800,서울특별시,서초구,서초동,H,1165053100,서울특별시,서초구,서초4동
27,기린약국,서울특별시 서초구 잠원로 24 130호 (반포동),127.0098751,37.5071118,B,1165010700,서울특별시,서초구,반포동,H,1165056000,서울특별시,서초구,반포1동
