,대분류,지점명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,홈플러스0,금천점,서울 금천구 시흥대로 391 삼성홈플러스,126.8968974,37.4686308,B,1154510200,서울특별시,금천구,독산동,H,1154561000,서울특별시,금천구,독산1동
1,1,월드컵점,서울 마포구 월드컵로 240 월드컵주경기장,126.8972774,37.5682588,B,1144012500,서울특별시,마포구,성산동,H,1144073000,서울특별시,마포구,성산2동
2,2,강서점,서울 강서구 화곡로 398 홈플러스강서점,126.854838,37.558418,B,1150010200,서울특별시,강서구,등촌동,H,1150052000,서울특별시,강서구,등촌1동
3,3,영등포점,서울 영등포구 당산로 42 홈플러스영등포점,126.8958956,37.5181504,B,1156012100,서울특별시,영등포구,문래동3가,H,1156060500,서울특별시,영등포구,문래동
4,4,강동점,서울 강동구 양재대로 1571 홈플러스강동점,127.1422439,37.5456582,B,1174010900,서울특별시,강동구,천호동,H,1174060000,서울특별시,강동구,천호1동
5,5,남현점,서울 관악구 과천대로 909 남현프라자,126.9824267,37.4713883,B,1162010300,서울특별시,관악구,남현동,H,1162063000,서울특별시,관악구,남현동
6,6,목동점,서울 양천구 목동서로 170 홈플러스목동점,126.8732314,37.5302084,B,1147010200,서울특별시,양천구,목동,H,1147051000,서울특별시,양천구,목1동
7,7,동대문점,서울 동대문구 천호대로 133 홈플러스동대문점,127.0387406,37.5745068,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
8,8,합정점,서울 마포구 양화로 45 메세나폴리스,126.9137027,37.5499443,B,1144012000,서울특별시,마포구,서교동,H,1144066000,서울특별시,마포구,서교동
9,9,잠실점,서울 송파구 올림픽로35가길 16 홈플러스잠실점,127.1029989,37.5162275,B,1171010200,서울특별시,송파구,신천동,H,1171071000,서울특별시,송파구,잠실6동
10,10,방학점,서울 도봉구 도봉로 678 홈플러스방학점,127.0437103,37.6648017,B,1132010600,서울특별시,도봉구,방학동,H,1132069000,서울특별시,도봉구,방학1동
11,11,가양점,서울 강서구 양천로 431 홈플러스가양점,126.8499416,37.5642454,B,1150010400,서울특별시,강서구,가양동,H,1150060400,서울특별시,강서구,가양2동
12,12,시흥점,서울 금천구 시흥대로 201 홈플러스시흥점,126.9007568,37.4518699,B,1154510300,서울특별시,금천구,시흥동,H,1154567000,서울특별시,금천구,시흥1동
13,13,월곡점,서울 성북구 화랑로 76,127.0404475,37.6017142,B,1129013600,서울특별시,성북구,하월곡동,H,1129072500,서울특별시,성북구,월곡2동
14,14,상봉점,서울 중랑구 망우로 353 홈플러스상봉점,127.0903454,37.5978842,B,1126010200,서울특별시,중랑구,상봉동,H,1126058000,서울특별시,중랑구,상봉1동
15,15,중계점,서울 노원구 동일로204가길 12,127.0686402,37.639815,B,1135010600,서울특별시,노원구,중계동,H,1135062500,서울특별시,노원구,중계2.3동
16,16,면목점,서울 중랑구 사가정로 332,127.0798833,37.5808178,B,1126010100,서울특별시,중랑구,면목동,H,1126055000,서울특별시,중랑구,면목5동
17,17,신도림점,서울 구로구 경인로 661 신도림1차푸르지오,126.8876466,37.5094291,B,1153010100,서울특별시,구로구,신도림동,H,1153051000,서울특별시,구로구,신도림동
18,18,신내점,서울 중랑구 신내로 201 홈플러스서울신내점,127.0937068,37.6157809,B,1126010600,서울특별시,중랑구,신내동,H,1126069000,서울특별시,중랑구,신내2동
