,지점명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
0,CU 성대원룸촌점,"서울특별시 종로구 성균관로 36, (명륜1가)",126.9969935,37.5858787,B,1111017000,서울특별시,종로구,명륜1가,H,1111065000,서울특별시,종로구,혜화동
1,미니스톱 종로육의전점,서울특별시 종로구 수표로 105,126.9892058,37.57062081,B,1111013800,서울특별시,종로구,종로2가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
2,CU 종로국악당점,서울특별시 종로구 율곡로 10길 16,126.9908888,37.5767803,B,1111013000,서울특별시,종로구,와룡동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
3,CU 종로운현궁점,서울특별시 종로구 율곡로 52,126.9853714,37.57623749,B,1111013400,서울특별시,종로구,경운동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
4,세븐일레븐 종로서촌점,서울특별시 종로구 자하문로 18-1층,126.9723305,37.57781879,B,1111010600,서울특별시,종로구,통의동,H,1111053000,서울특별시,종로구,사직동
5,세븐일레븐 종로르메이에르점,서울특별시 종로구 종로 19종로 1가,126.9799202,37.5708474,B,1111012200,서울특별시,종로구,청진동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
6,CU 동묘역점,"서울특별시 종로구 종로 351,  (숭인동) 1층",127.0166649,37.57350148,B,1111017500,서울특별시,종로구,숭인동,H,1111070000,서울특별시,종로구,숭인1동
7,세븐일레븐 세종로점,서울특별시 종로구 종로1길 42-1,126.9786629,37.57422446,B,1111012400,서울특별시,종로구,수송동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
8,CU 종로원서점,"서울특별시 종로구 창덕궁길 120, (원서동)",126.9893696,37.5828133,B,1111014900,서울특별시,종로구,원서동,H,1111060000,서울특별시,종로구,가회동
9,세븐일레븐 종로청계천중앙점,서울특별시 종로구 청계천로 97(관철동),126.988432,37.56840664,B,1111013500,서울특별시,종로구,관철동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
10,CU 종로행촌점,"서울특별시 종로구 통일로 12길 62, (행촌동)",126.9618968,37.57504252,B,1111018100,서울특별시,종로구,행촌동,H,1111058000,서울특별시,종로구,교남동
11,CU 종로교남점,"서울특별시 종로구 통일로 146,  (교남동) 1층",126.9655114,37.56743339,B,1111017600,서울특별시,종로구,교남동,H,1111058000,서울특별시,종로구,교남동
12,CU 평창북악점,"서울특별시 종로구 평창30길 19, (평창동)",126.9747656,37.61162884,B,1111018300,서울특별시,종로구,평창동,H,1111056000,서울특별시,종로구,평창동
13,세븐일레븐 상명대제일점,서울특별시 종로구 홍지문2길 11(홍지동),126.955564,37.60132404,B,1111018500,서울특별시,종로구,홍지동,H,1111055000,서울특별시,종로구,부암동
14,emart24 이화사거리점,서울특별시종로구 대학로 60,127.0025752,37.57655511,B,1111016600,서울특별시,종로구,연건동,H,1111064000,서울특별시,종로구,이화동
15,세븐일레븐 종로기독교회관점,서울시 종로구 대학로 19 1층,127.0016161,37.57292482,B,1111016000,서울특별시,종로구,연지동,H,1111063000,서울특별시,종로구,종로5.6가동
16,GS25 GS25서울극장점,서울 종로구 관수동70-1번지 외8필지,126.9920725,37.56958206,B,1111015500,서울특별시,종로구,관수동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
17,GS25 GS25방송통신대본점,서울 종로구 대학로 86(동숭동 169-1),127.0032873,37.57919216,B,1111016800,서울특별시,종로구,동숭동,H,1111064000,서울특별시,종로구,이화동
18,GS25 GS25명륜성대점,서울 종로구 명륜길2(명륜1가 15),126.9965817,37.58788453,B,1111017000,서울특별시,종로구,명륜1가,H,1111065000,서울특별시,종로구,혜화동
19,세븐일레븐 종로광화문점,서울특별시 종로구 당주동새문안로 9길 21 1층,126.9756248,37.57121573,B,1111011700,서울특별시,종로구,당주동,H,1111053000,서울특별시,종로구,사직동
20,CU 종로햇살점,서울특별시 종로구 대학로 4-1,127.0021443,37.57151464,B,1111016200,서울특별시,종로구,효제동,H,1111063000,서울특별시,종로구,종로5.6가동
21,emart24 종로낙원점,서울특별시 종로구 돈화문로 11길 41,126.98908,37.57239479,B,1111013700,서울특별시,종로구,낙원동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
