,자치구명,법정동명,건물주용도,건축년도,물건금액,신고년도
0,강남구,개포동,단독주택,1990s,1498333333.3333333,2016
1,강남구,개포동,단독주택,기타,1486315454.5454545,2016
2,강남구,개포동,아파트,1990s,611333466.1354581,2016
3,강남구,개포동,아파트,2000s,991037037.037037,2016
4,강남구,개포동,아파트,기타,946486512.118019,2016
5,강남구,개포동,연립주택,1990s,296100000.0,2016
6,강남구,개포동,연립주택,2000s,377333333.3333333,2016
7,강남구,개포동,연립주택,2010s,334964516.12903225,2016
8,강남구,개포동,연립주택,기타,321333333.3333333,2016
9,강남구,개포동,오피스텔,1990s,184698113.20754716,2016
10,강남구,개포동,오피스텔,2010s,220000000.0,2016
11,강남구,논현동,단독주택,1990s,2393913043.478261,2016
12,강남구,논현동,단독주택,2000s,3130000000.0,2016
13,강남구,논현동,단독주택,2010s,2620000000.0,2016
14,강남구,논현동,단독주택,기타,2741533333.3333335,2016
15,강남구,논현동,아파트,1990s,636915492.9577465,2016
16,강남구,논현동,아파트,2000s,879081761.0062894,2016
17,강남구,논현동,아파트,2010s,901656250.0,2016
18,강남구,논현동,아파트,기타,930640625.0,2016
19,강남구,논현동,연립주택,1990s,685611842.1052631,2016
20,강남구,논현동,연립주택,2000s,516159221.55688626,2016
21,강남구,논현동,연립주택,2010s,378312282.6086956,2016
22,강남구,논현동,연립주택,기타,503723404.2553192,2016
23,강남구,논현동,오피스텔,1990s,345928571.4285714,2016
24,강남구,논현동,오피스텔,2000s,451270833.3333333,2016
25,강남구,논현동,오피스텔,기타,131000000.0,2016
26,강남구,대치동,단독주택,1990s,2557000000.0,2016
27,강남구,대치동,단독주택,2000s,2830000000.0,2016
28,강남구,대치동,단독주택,기타,2695444444.4444447,2016
29,강남구,대치동,아파트,1990s,870687500.0,2016
30,강남구,대치동,아파트,2000s,1166394169.09621,2016
31,강남구,대치동,아파트,2010s,1739216049.382716,2016
32,강남구,대치동,아파트,기타,1375764285.7142856,2016
33,강남구,대치동,연립주택,1990s,375578947.3684211,2016
34,강남구,대치동,연립주택,2000s,442090000.0,2016
35,강남구,대치동,연립주택,2010s,274904761.9047619,2016
36,강남구,대치동,연립주택,기타,625319531.25,2016
37,강남구,대치동,오피스텔,1990s,220814285.7142857,2016
38,강남구,대치동,오피스텔,2000s,237840707.96460176,2016
39,강남구,대치동,오피스텔,2010s,361000000.0,2016
40,강남구,도곡동,단독주택,1990s,2806666666.6666665,2016
41,강남구,도곡동,단독주택,2000s,330000000.0,2016
42,강남구,도곡동,단독주택,기타,2300000000.0,2016
43,강남구,도곡동,아파트,1990s,826974011.299435,2016
44,강남구,도곡동,아파트,2000s,1308699593.495935,2016
45,강남구,도곡동,아파트,2010s,1018533333.3333334,2016
46,강남구,도곡동,아파트,기타,986268211.9205298,2016
47,강남구,도곡동,연립주택,1990s,492428571.4285714,2016
48,강남구,도곡동,연립주택,2000s,688285714.2857143,2016
49,강남구,도곡동,연립주택,2010s,233500000.0,2016
50,강남구,도곡동,연립주택,기타,530270833.3333333,2016
51,강남구,도곡동,오피스텔,1990s,225855932.20338982,2016
52,강남구,도곡동,오피스텔,2000s,1032039473.6842105,2016
53,강남구,삼성동,단독주택,1990s,2643600000.0,2016
54,강남구,삼성동,단독주택,2000s,2498333333.3333335,2016
55,강남구,삼성동,단독주택,기타,3819932727.2727275,2016
56,강남구,삼성동,아파트,1990s,854892523.364486,2016
57,강남구,삼성동,아파트,2000s,1254509324.009324,2016
58,강남구,삼성동,아파트,2010s,3021923333.3333335,2016
59,강남구,삼성동,아파트,기타,1233119047.6190476,2016
60,강남구,삼성동,연립주택,1990s,690628571.4285715,2016
61,강남구,삼성동,연립주택,2000s,349711406.25,2016
62,강남구,삼성동,연립주택,2010s,443337826.0869565,2016
63,강남구,삼성동,연립주택,기타,772787500.0,2016
64,강남구,삼성동,오피스텔,1990s,203839333.33333334,2016
65,강남구,삼성동,오피스텔,2000s,288792500.0,2016
66,강남구,삼성동,오피스텔,2010s,458330487.80487806,2016
67,강남구,세곡동,단독주택,2000s,2650000000.0,2016
68,강남구,세곡동,단독주택,2010s,2000000000.0,2016
69,강남구,세곡동,단독주택,기타,1861220000.0,2016
70,강남구,세곡동,아파트,2010s,691817187.5,2016
71,강남구,세곡동,연립주택,2010s,962762000.0,2016
72,강남구,세곡동,오피스텔,2010s,321021428.5714286,2016
73,강남구,수서동,아파트,1990s,621272036.4741641,2016
74,강남구,수서동,아파트,2010s,895009531.25,2016
75,강남구,수서동,오피스텔,1990s,218361111.1111111,2016
76,강남구,수서동,오피스텔,2000s,270605660.3773585,2016
77,강남구,신사동,단독주택,1990s,3396000000.0,2016
78,강남구,신사동,단독주택,2000s,2550000000.0,2016
79,강남구,신사동,단독주택,기타,4289000000.0,2016
80,강남구,신사동,아파트,1990s,689966666.6666666,2016
81,강남구,신사동,아파트,2000s,1070045454.5454545,2016
82,강남구,신사동,아파트,기타,418333333.3333333,2016
83,강남구,신사동,연립주택,1990s,487941176.4705882,2016
84,강남구,신사동,연립주택,2000s,298464285.71428573,2016
85,강남구,신사동,연립주택,2010s,187500000.0,2016
86,강남구,신사동,연립주택,기타,1253115384.6153846,2016
87,강남구,신사동,오피스텔,기타,132500000.0,2016
88,강남구,압구정동,아파트,기타,1840674473.0679157,2016
